title,description,directions,images,ingredients,meal_type,prep,servings,total
Tres Leches (Milk Cake),This delicious tres leches cake recipe combines 3 types of milk that soak into the cake making it extra moist. It&#39;s topped with sweet whipped cream.,"Step1: Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch baking pan. Step2: Sift flour and baking powder together; set aside. Step3: Beat sugar and butter together in a large bowl with an electric mixer until light and fluffy. Add eggs and vanilla; beat well. Add flour mixture, about 1/2 cup at a time, mixing until well blended. Pour batter into the prepared pan. Step4: Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 30 minutes. Pierce cake all over with a fork; let cool to room temperature. Step5: Mix whole milk, condensed milk, and evaporated milk together in a bowl; pour over the top of the cooled cake and allow to soak in. Step6: Whip cream, remaining 1 cup of sugar, and 1 teaspoon vanilla in a chilled glass or metal bowl with an electric mixer until thick. Spread over the top of the filling. Keep cake refrigerated until serving.",1.jpg,"1.5 cups all-purpose flour, 1 teaspoon baking powder, 0.5 cup unsalted butter, 1 cup white sugar, 5 eggs, 0.5 teaspoon vanilla extract, 2 cups whole milk, 1 (14 ounce) can sweetened condensed milk, 1 (12 fluid ounce) can evaporated milk, 1.5 cups heavy whipping cream, 1 cup white sugar, 1 teaspoon vanilla extract",dessert,15,24,60
Tamales Rojos de Pollo (Red Chicken Tamales),"Make chicken tamales at home with this authentic recipe that combines shredded chicken with a smoky, spicy Mexican red sauce made with ancho and mulato chiles.","Step1: Place corn husks in a bowl, cover with boiling water, and soak for a few hours. Drain, place on a work surface, and cover with a clean, damp towel. Step2: Place chicken in a pot, season with salt, and cover with water. Bring to a boil over medium-high heat, reduce heat, cover, and simmer until chicken is cooked through, 20 to 25 minutes. Drain chicken and shred with 2 forks. Step3: Heat a griddle over medium heat and toast mulato and ancho chiles until fragrant, 3 to 5 minutes. Place in a bowl and cover with boiling water. Soak until soft, about 25 minutes. Combine ancho and mulato chiles, garlic, cumin seeds, and about 1/2 cup of the soaking water in a blender; blend until a thick, smooth, mole-like sauce forms, adding more water if necessary. Step4: Heat 1 tablespoon lard in a saucepan over medium heat and add the sauce; cook for 3 to 5 minutes. Add shredded chicken and cook until flavors are combined and chicken is heated through, about 5 minutes. Step5: Place remaining lard in a large bowl; beat with an electric mixer until creamy. Add masa harina, chicken broth, baking powder, and 1 1/2 teaspoon salt, and beat until all ingredients are well combined. Test if the masa is ready by dropping a small ball of masa into a glass of cold water; if it floats, it&#39;s ready, if not, keep working the dough a little longer. Step6: Select 1 wide corn husk. Spread about 2 tablespoons masa mixture onto the the corn husk, filling it up to 2 inches from the bottom and 1/4 inch from the top. Add 1 tablespoon of the chicken filling in the center of the masa mixture. Fold sides of husk together, one over the other. Fold the bottom of the husk over the seam of the 2 folded sides. Repeat with remaining husks. Step7: Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add tamales with the open side up and cook until filling is heated through and separates from the husk, about 1 hour. Let tamales rest for 15 minutes before serving.",2.jpg,"corn husks, 1.25 pounds skinless, boneless chicken breast halves, 1 pinch salt to taste, 1 cup mulato chiles, stemmed and seeded, 0.33333334326744 cup ancho chiles, stemmed and seeded, 1 clove garlic, 8 cumin seeds, boiling water as needed, 0.5 pound lard, 1 pound masa harina, 3 cups chicken broth, 1.5 teaspoons baking powder, 1.5 teaspoons salt",snack,60,35,275
Pico de Gallo,"Pico de gallo is easy to make with fresh tomatoes, red onion, jalapeño, coriander, lime juice, and seasonings for a flavor-packed Mexican salsa.","Step1: Gather all ingredients. Step2: Stir tomatoes, onion, cilantro, jalapeño pepper, lime juice, garlic, garlic powder, cumin, salt, and pepper together in a bowl. Step3: Enjoy!",3.jpg,"6 roma (plum) tomatoes, diced, 0.5 red onion, minced, 3 tablespoons chopped fresh cilantro, 0.5 jalapeño pepper, seeded and minced, 0.5 lime, juiced, 1 clove garlic, minced, 1 pinch garlic powder, 1 pinch ground cumin, or to taste, salt and ground black pepper to taste",snack,20,12,20
The Best Horchata,"Horchata is a creamy Mexican drink made with rice, milk, and cinnamon. Serve over ice for a refreshing treat on a hot summer&#39;s day!","Step1: Pour sugar, cinnamon, and rice into hot water; stir until sugar dissolves. Cover, and let stand at room temperature for at least 3 hours, but preferably overnight. Step2: Stir in milk, then puree with a hand blender, or in batches in a standing blender until the rice resembles fine sand. Strain through several layers of cheesecloth, or through a very fine strainer. Serve over ice.",4.jpg,"2 quarts hot water, 0.5 cup white sugar, 1.5 teaspoons ground cinnamon, 1 cup long grain rice, 1 cup milk, ice cubes, for serving",lunch,15,8,210
Chilaquiles Rojos,"Chilaquiles rojos with chicken makes a super satisfying meal loaded with delicious flavors thanks to chipotle chiles, tomatoes, and cotija cheese.","Step1: Preheat the oven to 350 degrees F (175 degrees C). Grease a 10x15-inch casserole dish. Step2: Combine drained tomatoes and chipotle chiles in adobo in a blender; puree until smooth. Step3: Heat oil in a large skillet over medium heat. Add onion; cook and stir until onion has softened, about 5 to 7 minutes. Stir in garlic until fragrant; add pureed tomato-chile sauce and simmer until mixture starts to thicken. Pour in chicken broth and stir in cumin, oregano, and salt; let simmer until mixture thickens. Remove from heat. Step4: Mix tortilla chips and tomato-chile sauce, folding carefully to cover chips completely. You may have to do this in 2 batches. Step5: Cover the bottom of the casserole dish with half of the tortilla chip mixture. Sprinkle a layer of Mexican cheese and cotija cheese on top. Add shredded chicken to cover all of the cheese. Season chicken with salt and pepper, then sprinkle with 1/2 of the green onions and 1/2 of the cilantro. Spoon 3/4 of the sour cream evenly over top. Spread with the remaining tortilla mixture then top with remaining Mexican and cotija cheeses. Cover with aluminum foil. Step6: Bake in the preheated oven until mixture is bubbly and cheese is melted, 35 to 45 minutes. Remove from the oven and let sit for 5 minutes. Serve with sour cream, green onions, and cilantro.",5.jpg,"1 (28 ounce) can whole peeled tomatoes, drained, 2 chipotle chiles in adobo sauce, or more to taste, 1.5 tablespoons vegetable oil, 1 large white onion, thinly sliced, 3 cloves garlic, minced, 1.5 cups chicken broth, 1 dash roasted ground cumin, 1 dash dried oregano, 1 pinch salt and ground black pepper to taste, 1 (16 ounce) package tortilla chips, 1 (8 ounce) package shredded Mexican cheese blend, 5 ounces crumbled cotija cheese, 1 whole cooked chicken, deboned and shredded, 0.66666668653488 cup chopped green onions, divided, 1 cup chopped cilantro, divided, 1 (8 ounce) carton sour cream, divided",lunch,30,10,80
Mexican Pinwheels,"Mexican pinwheel tortilla wrap appetizers feature a spiced cream cheese, chicken, and Cheddar, are fast to assemble, and pretty on a plate. They won&#39;t last long at your next party.","Step1: Blend cream cheese, sour cream, smoked paprika, onion powder, and Aleppo pepper together in a small bowl.  Step2: Lay tortillas out on a cutting board. Spread cream cheese mixture evenly over tortillas. Divide RO*TEL, Cheddar cheese, chicken strips, and guacamole evenly among tortillas. Step3: Roll up pinwheels tightly. Refrigerate for 4 hours. Cut into 1-inch rounds. Enjoy!",6.jpg,"1/2 cup cream cheese, softened, 1/2 cup sour cream, 1 teaspoon onion powder, 2 teaspoon smoked paprika, 1 teaspoon garlic powder, Pinch crushed Aleppo peppers, 5 sundried tomato tortilla wraps, 1/2 cup canned tomatoes with green chilies (such as RO*TEL® Tomatoes and Green Chilies), drained, 8 ounces Cheddar cheese, shredded, 8 ounces grilled chicken breast strips, 1 cup guacamole, or as needed (optional)",lunch,15,8,249
Chocolate Tres Leches Cake,"This chocolate tres leches cake uses chocolate milk, cake mix, and chocolate whipped cream for a delicious version of the classic Mexican dessert.","Step1: Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch pan. Step2: Beat cake mix, chocolate milk, canola oil, eggs, and espresso powder together in a large bowl with an electric hand mixer on a low speed until dry ingredients are moistened. Increase speed to medium and continue beating another 2 minutes; pour into prepared pan. Step3: Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 35 minutes. Remove cake from the oven and allow it to cool in the pan until it is no longer hot to the touch. While the cake is still warm, poke lots of holes all over the cake with a small skewer or a fork. Step4: Whisk sweetened condensed milk, half-and-half, evaporated milk, and 3 tablespoons cocoa powder together in a bowl until cocoa is mostly incorporated into the liquid; slowly pour the milk mixture evenly over the cake. Allow the cake to cool completely as the liquid soaks into it. Step5: Sift confectioners&#39; sugar and cocoa powder together in a bowl. Step6: Beat heavy whipping cream in a stand mixer on medium speed for about 1 minute. While continuing to mix, add sugar-and-cocoa mixture to the cream in 2 batches, allowing the first to incorporate before adding the second. Increase mixer speed to medium-high; beat until soft peaks form and the cream is thickened and spreadable. Spread chocolate whipped cream on the cake to serve.",7.jpg,"1 (18.25 ounce) package Swiss chocolate cake mix (such as Duncan Hines®), 1.25 cups chocolate milk, 0.5 cup canola oil, 3 eggs, 1 teaspoon instant espresso powder, 1 (14 ounce) can sweetened condensed milk, 0.75 cup half-and-half, 0.75 cup evaporated milk, 3 tablespoons unsweetened cocoa powder, 1 cup confectioners' sugar, 0.5 cup unsweetened cocoa powder, 3 cups heavy whipping cream",dessert,35,18,93
Mexican Rice,This Mexican rice recipe is simple to make by simmering cumin-seasoned rice in tomato sauce and chicken broth for a restaurant-style side dish.,"Step1: Heat oil in a large saucepan over medium heat. Add rice and season with garlic salt and cumin; cook, stirring constantly, until puffed and golden. Step2: Add onion; cook and stir until onion has softened. Stir in chicken broth and tomato sauce; bring to a boil. Reduce heat to low, cover, and simmer for 20 to 25 minutes. Fluff rice with a fork.",8.jpg,"3 tablespoons vegetable oil, 1 cup uncooked long-grain rice, 1 teaspoon garlic salt, 0.5 teaspoon ground cumin, 0.25 cup chopped onion, 2 cups chicken broth, 0.5 cup tomato sauce",dinner,5,4,30
Sheet Pan Breakfast Bake,"A layered breakfast bake with two ingredient dough, eggs, and bacon.","Step1: Preheat the oven to 350 degrees F (175 degrees C). Spray a sheet pan with nonstick cooking spray. Step2: Mix Greek yogurt, flour, and carne asada seasoning together in a medium bowl until a shaggy dough forms. Transfer to a surface dusted with self-rising flour, and knead for about 5 minutes until smooth. Continue adding flour as needed if the dough is too sticky. Step3: Knead dough for about 5 minutes until smooth. Step4: Shape dough to fit into sheet pan. Step5: Bake dough in the preheated oven for 12 minutes. Step6: Meanwhile, stir together eggs, cheese, hash browns, and salsa in a bowl. Step7: Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 7 minutes. Remove bacon to a drip line tray. Let cool before roughly chopped bacon. Step8: Pour egg mixture over dough. Sprinkle bacon over the top. Step9: Cook until eggs are set, about 25 minutes. Step10: Remove from oven and top with chopped green onions. Allow to cool slightly before serving.",9.jpg,"1 cup Greek yogurt, 1.25 cups self-rising flour, plus more for kneading, 1 teaspoon carne asada seasoning (such as Lawry's®), cooking spray, 5 large eggs, 1 cup shredded Colby cheese, 1 cup frozen shredded hash brown potatoes, thawed, 2 tablespoons salsa, 4 slices bacon, green onions for garnish (optional)",dessert,10,8,47
Sweet Potato Breakfast Hash,Sweet potato breakfast hash served on a bed of spinach and topped with an egg will get your day off to a great start.,"Step1: Preheat the oven to 400 degrees F (200 degrees C); line a sheet pan with parchment paper. Step2: Toss sweet potatoes with olive oil and salt in a bowl; spread in a single layer in the prepared pan. Step3: Roast, uncovered, in the preheated oven until barely fork tender, about 10 minutes; set aside. Step4: Meanwhile, fry bacon in a large skillet over medium heat until browned, turning occasionally, about 10 minutes. Remove cooked bacon; set aside. Step5: To the same skillet, add onions and cook, stirring, until onions are soft, 4 to 5 minutes. Add apples; cook 3 to 4 minutes. Stir sweet potatoes and walnuts into the skillet; cook and stir until sweet potatoes are tender and walnuts are lightly toasted, 6 to 8 minutes. Crumble bacon back into the skillet for the last minute of cooking time. Set aside and keep warm. Step6: Crack eggs into a skillet over medium heat. Cook until outer edges become opaque, about 1 minute. Cover, reduce heat to low, and cook until whites are completely set, about 4 minutes. Step7: Spread about 1/2 cup fresh spinach on each serving plate; evenly divide hash on top of spinach. Place a lightly fried or poached egg on top of each plate; sprinkle with chives.",10.jpg,"1 1/2 pounds sweet potatoes, peeled and diced, 2 tablespoons olive oil, 1/2 teaspoon salt, or to taste, 5 slices low-sodium bacon, 2 cups diced onions, 2 large, firm apples, cored and diced, see note, 1/2 cup chopped walnuts, 4 over easy fried, or soft poached eggs, 2 cups fresh spinach, or as needed, 2 tablespoons fresh minced chives, optional",lunch,15,4,40
